kg	1 kg	kg
kilogram	1 kg	kg
s	1 s	s
second	1 s	s
m	1 m	m
meter	1 m	m
A	1 A	A
ampere	1 A	A
amp	1 A	ampere
cd	1 cd	cd
candela	1 cd	cd
mol	1 mol	mol
mole	1 mol	mol
K	1 K	K
kelvin	1 K	K
F	1 s^4*A^2/m^2*kg	farad
weber	1 m^2*kg/s^2*A	V s
Wb	1 m^2*kg/s^2*A	weber
henry	1 m^2*kg/s^2*A^2	Wb/A
H	1 m^2*kg/s^2*A^2	henry
tesla	1 kg/s^2*A	Wb/m^2
T	1 kg/s^2*A	tesla
hertz	1 s^-1	/s
Hz	1 s^-1	hertz
LENGTH	1 m	meter
AREA	1 m^2	LENGTH^2
VOLUME	1 m^3	LENGTH^3
MASS	1 kg	kilogram
CURRENT	1 A	ampere
AMOUNT	1 mol	mole
ANGLE	1	radian
SOLID_ANGLE	1	steradian
FORCE	1 m*kg/s^2	newton
PRESSURE	1 kg/m*s^2	FORCE / AREA
STRESS	1 kg/m*s^2	FORCE / AREA
CHARGE	1 s*A	coulomb
CAPACITANCE	1 s^4*A^2/m^2*kg	farad
RESISTANCE	1 m^2*kg/s^3*A^2	ohm
CONDUCTANCE	1 s^3*A^2/m^2*kg	siemens
INDUCTANCE	1 m^2*kg/s^2*A^2	henry
FREQUENCY	1 s^-1	hertz
DENSITY	1 kg/m^3	MASS / VOLUME
LINEAR_DENSITY	1 kg/m	MASS / LENGTH
gram	0.00100000000000000002 kg	millikg
gm	0.00100000000000000002 kg	gram
g	0.00100000000000000002 kg	gram
tonne	1000 kg	1000 kg
t	1000 kg	tonne
metricton	1000 kg	tonne
sthene	1000 m*kg/s^2	tonne m / s^2
funal	1000 m*kg/s^2	sthene
pieze	1000 kg/m*s^2	sthene / m^2
quintal	100 kg	100 kg
bar	100000 kg/m*s^2	1e5 Pa
b	100000 kg/m*s^2	bar
vac	100 kg/m*s^2	millibar
micron	9.99999999999999955e-07 m	micrometer
bicron	9.9999999999999998e-13 m	picometer
cc	1.00000000000000017e-06 m^3	cm^3
are	100 m^2	100 m^2
a	100 m^2	are
liter	0.00100000000000000024 m^3	1000 cc
oldliter	0.00100002800000000024 m^3	1.000028 dm^3
L	0.00100000000000000024 m^3	liter
l	0.00100000000000000024 m^3	liter
mho	1 s^3*A^2/m^2*kg	siemens
galvat	1 A	ampere
angstrom	1.00000000000000004e-10 m	1e-10 m
xunit_cu	1.00207697000000001e-13 m	1.00207697e-13 m
xunit_mo	1.00209952000000005e-13 m	1.00209952e-13 m
angstromstar	1.00001494999999994e-10 m	1.00001495 angstrom
fermi	1.00000000000000008e-15 m	1e-15 m
barn	9.99999999999999971e-29 m^2	1e-28 m^2
shed	9.99999999999999822e-53 m^2	1e-24 barn
brewster	9.9999999999999998e-13 m*s^2/kg	micron^2/N
diopter	1 m^-1	/m
fresnel	1000000000000 s^-1	1e12 Hz
svedberg	1.00000000000000003e-13 s	1e-13 s
gamma	1.00000000000000006e-09 kg	microgram
lambda	1.00000000000000027e-09 m^3	microliter
spat	1000000000000 m	1e12 m
preece	10000000000000 m^3*kg/s^3*A^2	1e13 ohm m
planck	1 m^2*kg/s	J s
sturgeon	1 s^2*A^2/m^2*kg	/henry
daraf	1 m^2*kg/s^4*A^2	1/farad
leo	10 m/s^2	10 m/s^2
poiseuille	1 kg/m*s	N s / m^2
mayer	1000 m^2/s^2*K	J/g K
mired	1000000 K^-1	/ microK
crocodile	1000000 m^2*kg/s^3*A	megavolt
mounce	0.0250000000000000014 kg	metricounce
finsenunit	100000 kg/s^3	1e5 W/m^2
fluxunit	1.00000000000000004e-26 kg/s^2	1e-26 W/m^2 Hz
jansky	1.00000000000000004e-26 kg/s^2	fluxunit
Jy	1.00000000000000004e-26 kg/s^2	jansky
flick	10000000000 kg/m*s^3	W / cm^2 sr micrometer
pfu	10000 m^-2*s^-1	/ cm^2 sr s
solarluminosity	3.84599999999999986e+26 m^2*kg/s^3	384.6e24 W
sec	1 s	s
minute	60 s	60 s
min	60 s	minute
hour	3600 s	60 min
h	3600 s	hour
hr	3600 s	hour
day	86400 s	24 hr
d	86400 s	day
da	86400 s	day
week	604800 s	7 day
wk	604800 s	week
sennight	604800 s	7 day
fortnight	1209600 s	14 day
blink	0.864000000000000101 s	1e-5 day
ce	864 s	1e-2 day
watch	14400 s	4 hours
bell	1800 s	1|8 watch
decimalhour	8640 s	1|10 day            
decimalminute	86.4000000000000057 s	1|100 decimalhour   
decimalsecond	0.864000000000000101 s	1|100 decimalminute 
beat	86.4000000000000057 s	decimalminute
pulsatance	1 s^-1	radian / sec
centrad	0.0100000000000000002	0.01 radian
percent	0.0100000000000000002	0.01
%	0.0100000000000000002	percent
mill	0.00100000000000000002	0.001
proof	0.0050000000000000001	1|200
ppm	9.99999999999999955e-07	1e-6
partspermillion	9.99999999999999955e-07	ppm
ppb	1.00000000000000006e-09	1e-9
partsperbillion	1.00000000000000006e-09	ppb
ppt	9.9999999999999998e-13	1e-12
partspertrillion	9.9999999999999998e-13	ppt
karat	0.0416666666666666644	1|24
caratgold	0.0416666666666666644	karat
gammil	0.000999999999999999804 kg/m^3	mg/l
basispoint	0.000100000000000000005	0.01 %
fine	0.00100000000000000002	1|1000
TEMPERATURE	1 K	kelvin
TEMPERATURE_DIFFERENCE	1 K	kelvin
degcelsius	1 K	K
degC	1 K	K
degfahrenheit	0.55555555555555558 K	5|9 degC
degF	0.55555555555555558 K	5|9 degC
degreesrankine	0.55555555555555558 K	degF
degrankine	0.55555555555555558 K	degreesrankine
degreerankine	0.55555555555555558 K	degF
degR	0.55555555555555558 K	degrankine
tempR	0.55555555555555558 K	degrankine
temprankine	0.55555555555555558 K	degrankine
degreaumur	1.25 K	10|8 degC
degK	1 K	K
tempK	1 K	K
pi	3.14159265358979312	3.14159265358979323846
c	299792458 m/s	2.99792458e8 m/s
light	299792458 m/s	c
mu0	1.25663706143591729e-06 m*kg/s^2*A^2	4 pi 1e-7 H/m
epsilon0	8.85418781762038916e-12 s^4*A^2/m^3*kg	1/mu0 c^2
energy	89875517873681760 m^2/s^2	c^2
e	1.60217662080000009e-19 s*A	1.6021766208e-19 C
eV	1.60217662080000009e-19 m^2*kg/s^2	e V
electronvolt	1.60217662080000009e-19 m^2*kg/s^2	eV
hplanck	6.62607003945499709e-34 m^2*kg/s	4.135667662e-15 eV s
hbar	1.05457180005237273e-34 m^2*kg/s	hplanck / 2 pi
